dbid	graphid	dburl	wiki_url	img_url	name	youtubeId
2	6040	http://dbpedia.org/resource/Jumanji	https://en.wikipedia.org/wiki/Jumanji	https://upload.wikimedia.org/wikipedia/en/b/b6/Jumanji_poster.jpg	Jumanji (1995)	3LPANjHlPxo
3	6041	http://dbpedia.org/resource/Grumpier_Old_Men	https://en.wikipedia.org/wiki/Grumpier_Old_Men	https://upload.wikimedia.org/wikipedia/en/0/03/Grumpier_old_menposter.jpg	Grumpier Old Men (1995)	rEnOoWs3FuA
4	6042	http://dbpedia.org/resource/Waiting_to_Exhale	https://en.wikipedia.org/wiki/Waiting_to_Exhale	https://upload.wikimedia.org/wikipedia/en/c/ca/WaitingExhale.jpg	Waiting to Exhale (1995)	j9xml1CxgXI
5	6043	http://dbpedia.org/resource/Father_of_the_Bride_Part_II	https://en.wikipedia.org/wiki/Father_of_the_Bride_Part_II	https://upload.wikimedia.org/wikipedia/en/e/e1/Father_of_the_bride_part_ii.jpg	Father of the Bride Part II (1995)	ltwvKLnj1B4
6	6044	http://dbpedia.org/resource/Heat_(1995_film)	https://en.wikipedia.org/wiki/Heat_(1995_film)	https://upload.wikimedia.org/wikipedia/en/6/6c/Heatposter.jpg	Heat (1995)	2GfZl4kuVNI
7	6045	http://dbpedia.org/resource/Sabrina_(1995_film)	https://en.wikipedia.org/wiki/Sabrina_(1995_film)	https://upload.wikimedia.org/wikipedia/en/d/d9/Sabrina_%281995_film%29.jpg	Sabrina (1995)	twTksx_lWB4
8	6046	http://dbpedia.org/resource/Tom_and_Huck	https://en.wikipedia.org/wiki/Tom_and_Huck	https://upload.wikimedia.org/wikipedia/en/d/db/Tomandhuck_poster.jpg	Tom and Huck (1995)	-C-xXZyX2zU
9	6047	http://dbpedia.org/resource/Sudden_Death	https://en.wikipedia.org/wiki/Sudden_Death_(1995_film)	https://upload.wikimedia.org/wikipedia/en/5/5d/Sudden_Death_%281995_film_poster%29.jpg	Sudden Death (1995)	SCOxEKkuWG4
10	6048	http://dbpedia.org/resource/GoldenEye	https://en.wikipedia.org/wiki/GoldenEye	https://upload.wikimedia.org/wikipedia/en/2/24/GoldenEye_-_UK_cinema_poster.jpg	GoldenEye (1995)	lcOqUE0u1LM
11	6049	http://dbpedia.org/resource/The_American_President	https://en.wikipedia.org/wiki/The_American_President	https://upload.wikimedia.org/wikipedia/en/f/f2/The_American_President_%28movie_poster%29.jpg	American President, The (1995)	UrC75wUKoFM
12	6050	http://dbpedia.org/resource/Dracula:_Dead_and_Loving_It	https://en.wikipedia.org/wiki/Dracula:_Dead_and_Loving_It	https://upload.wikimedia.org/wikipedia/en/5/54/Drac_dead_and_loving_it.jpg	Dracula: Dead and Loving It (1995)	tVdn8JH91Dg
13	6051	http://dbpedia.org/resource/Balto_(film)	https://en.wikipedia.org/wiki/Balto_(film)	https://upload.wikimedia.org/wikipedia/en/4/48/Balto_movie_poster.jpg	Balto (1995)	a6lGULmQdb0
14	6052	http://dbpedia.org/resource/Nixon_(film)	https://en.wikipedia.org/wiki/Nixon_(film)	https://upload.wikimedia.org/wikipedia/en/d/df/Nixonmovieposter.jpg	Nixon (1995)	dO2LWKpeyI8
15	6053	http://dbpedia.org/resource/Cutthroat_Island	https://en.wikipedia.org/wiki/Cutthroat_Island	https://upload.wikimedia.org/wikipedia/en/a/a1/Cutthroat_island_ver2.jpg	Cutthroat Island (1995)	JXxFESHwnX0
16	6054	http://dbpedia.org/resource/Casino_(film)	https://en.wikipedia.org/wiki/Casino_(film)	https://upload.wikimedia.org/wikipedia/en/c/cb/Casino_%28Martins_Scorsese_film%29.png	Casino (1995)	EJXDMwGWhoA
17	6055	http://dbpedia.org/resource/Sense_and_Sensibility_(film)	https://en.wikipedia.org/wiki/Sense_and_Sensibility_(film)	https://upload.wikimedia.org/wikipedia/en/6/69/Sense_and_sensibility.jpg	Sense and Sensibility (1995)	Ns17RQr1yK8
18	6056	http://dbpedia.org/resource/Four_Rooms	https://en.wikipedia.org/wiki/Four_Rooms	https://upload.wikimedia.org/wikipedia/en/c/c8/Four_rooms_ver2.jpg	Four Rooms (1995)	Rieq_TR7cV0
19	6057	http://dbpedia.org/resource/Ace_Ventura:_When_Nature_Calls	https://en.wikipedia.org/wiki/Ace_Ventura:_When_Nature_Calls	https://upload.wikimedia.org/wikipedia/en/b/b9/AceVenturaWhenNatureCallsposter.jpg	Ace Ventura: When Nature Calls (1995)	DfqPjRMsRP0
20	6058	http://dbpedia.org/resource/Money_Train_(film)	https://en.wikipedia.org/wiki/Money_Train_(film)	https://upload.wikimedia.org/wikipedia/en/d/de/Money_Train.jpg	Money Train (1995)	qPPUmzK5pPc
21	6059	http://dbpedia.org/resource/Get_Shorty_(film)	https://en.wikipedia.org/wiki/Get_Shorty_(film)	https://upload.wikimedia.org/wikipedia/en/8/81/Get_shorty.jpg	Get Shorty (1995)	yNLaTtpovys
22	6060	http://dbpedia.org/resource/Copycat_(film)	https://en.wikipedia.org/wiki/Copycat_(1995_film)	https://upload.wikimedia.org/wikipedia/en/9/92/Copycat_ver1.jpg	Copycat (1995)	lsmXhM4yfU0
23	6061	http://dbpedia.org/resource/Assassins_(film)	https://en.wikipedia.org/wiki/Assassins_(1995_film)	https://upload.wikimedia.org/wikipedia/en/f/f5/Assassins_ver1.jpg	Assassins (1995)	OOTTvrb4JZI
24	6062	http://dbpedia.org/resource/Powder_(film)	https://en.wikipedia.org/wiki/Powder_(1995_film)	https://upload.wikimedia.org/wikipedia/en/1/16/Powder_poster.jpg	Powder (1995)	gHl-UHu2-lM
25	6063	http://dbpedia.org/resource/Leaving_Las_Vegas	https://en.wikipedia.org/wiki/Leaving_Las_Vegas	https://upload.wikimedia.org/wikipedia/en/3/39/Leaving_las_vegas_ver1.jpg	Leaving Las Vegas (1995)	UMlYWZgCIgo
26	6064	http://dbpedia.org/resource/Othello_(1995_film)	https://en.wikipedia.org/wiki/Othello_(1995_film)	https://upload.wikimedia.org/wikipedia/en/c/cf/Othelloposter.jpg	Othello (1995)	RAYuASqrs94
27	6065	http://dbpedia.org/resource/I_Now_Pronounce_You_Chuck_and_Larry	https://en.wikipedia.org/wiki/I_Now_Pronounce_You_Chuck_and_Larry	https://upload.wikimedia.org/wikipedia/en/e/e9/Chuckandlarrymp.jpg	Now and Then (1995)	RQLVzTtt2Ws
28	6066	http://dbpedia.org/resource/Persuasion_(1995_film)	https://en.wikipedia.org/wiki/Persuasion_(1995_film)	https://upload.wikimedia.org/wikipedia/en/c/cf/Persuasion_VHS_PAL_BBC_1995.png	Persuasion (1995)	lYSHAyODiGs
29	6067	http://dbpedia.org/resource/The_City_of_Lost_Children	https://en.wikipedia.org/wiki/The_City_of_Lost_Children	https://upload.wikimedia.org/wikipedia/en/4/40/City_of_lost_children_french_movie_poster.jpg	City of Lost Children, The (1995)	toH1vzAmDBI
30	6068	http://dbpedia.org/resource/Shanghai_Triad	https://en.wikipedia.org/wiki/Shanghai_Triad	https://upload.wikimedia.org/wikipedia/en/7/71/Shanghai_Triad_poster.jpg	Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)	mQf3Ngg2cks
31	6069	http://dbpedia.org/resource/Dangerous_Minds	https://en.wikipedia.org/wiki/Dangerous_Minds	https://upload.wikimedia.org/wikipedia/en/6/65/Dangerous_minds.jpg	Dangerous Minds (1995)	gA-5nLQCmW8
32	6070	http://dbpedia.org/resource/12_Monkeys	https://en.wikipedia.org/wiki/12_Monkeys	https://upload.wikimedia.org/wikipedia/en/c/cf/Twelve_monkeysmp.jpg	Twelve Monkeys (1995)	15s4Y9ffW_o
33	6071	http://dbpedia.org/resource/Wings_of_Courage	https://en.wikipedia.org/wiki/Wings_of_Courage	https://upload.wikimedia.org/wikipedia/en/5/5a/Wings_of_Courage.jpg	Wings of Courage (1995)	3_wez2B83ic
34	6072	http://dbpedia.org/resource/Babe_(film)	https://en.wikipedia.org/wiki/Babe_(film)	https://upload.wikimedia.org/wikipedia/en/6/6f/Babe_ver1.jpg	Babe (1995)	tVxeoUtVF0o
35	6073	http://dbpedia.org/resource/Carrington_(film)	https://en.wikipedia.org/wiki/Carrington_(film)	https://upload.wikimedia.org/wikipedia/en/d/d2/Carrington_ver1.jpg	Carrington (1995)	ccq3f9-lQyM
36	6074	http://dbpedia.org/resource/Dead_Man_Walking_(film)	https://en.wikipedia.org/wiki/Dead_Man_Walking_(film)	https://upload.wikimedia.org/wikipedia/en/c/c0/Deadmanwalkingp.jpg	Dead Man Walking (1995)	pg-GMqPHIPQ
38	6075	http://dbpedia.org/resource/It_Takes_Two_(1995_film)	https://en.wikipedia.org/wiki/It_Takes_Two_(1995_film)	https://upload.wikimedia.org/wikipedia/en/b/b1/It_Takes_Two_%281995_film%29.jpg	It Takes Two (1995)	6PKq7YSpO6c
39	6076	http://dbpedia.org/resource/Clueless_(film)	https://en.wikipedia.org/wiki/Clueless_(film)	https://upload.wikimedia.org/wikipedia/en/5/5a/Clueless_film_poster.png	Clueless (1995)	XuHEa7pWAQY
40	6077	http://dbpedia.org/resource/Cry,_the_Beloved_Country_(1995_film)	https://en.wikipedia.org/wiki/Cry,_the_Beloved_Country_(1995_film)	https://upload.wikimedia.org/wikipedia/en/1/1c/Cry_the_beloved_country_ver2.jpg	Cry, the Beloved Country (1995)	zEY1dPRUrVU
